model,cross_entropy,perplexity,parameters
QAH INT4,3.5588088355950394,35.12133693244992,16546560
QAT INT4,3.633476050425976,37.84413637427023,16546560
Recovered FP32,3.683288879941714,39.77700096025746,16546560
QAD INT4,3.752026262659352,42.60732823000365,16546560
PTQ INT4,4.400535198235726,81.49447269353473,16546560
