step,train_kl,validation_ce,validation_ppl
0,,4.400535355359022,81.49448549821587
20,2.7587037086486816,3.910519819254632,49.924897152247134
40,2.277960777282715,3.802144089685336,44.79713066373605
60,2.194756269454956,3.715193930382379,41.06655036402193
80,2.1252360343933105,3.620567744723915,37.358772047912545
100,2.1156136989593506,3.5588089482284166,35.12134088828494
