step,train_ce,validation_ce,validation_ppl
0,,4.400535355359022,81.49448549821587
20,4.064972877502441,3.9429733872193427,51.571716234656684
40,3.869142770767212,3.8451529423881774,46.765836282667664
60,3.518259048461914,3.7648042091534193,43.155255628614114
80,3.3317904472351074,3.7038139155795067,40.60186151092974
100,3.9418609142303467,3.6334759410843516,37.8441322363311
